epoch,train_loss,test_loss,accuracy
1,1.3718,0.1776,4960
2,1.2905,0.1613,5526
3,1.2320,0.1544,5704
4,1.1999,0.1552,5706
5,1.1755,0.1633,5530
6,1.1619,0.1607,5717
7,1.1364,0.1621,5682
