epoch,train_loss,test_loss,accuracy
1,2.0954,0.2563,.2214
2,2.0691,0.2747,.2271
3,2.0992,0.2542,.2401
4,2.0293,0.2539,.2190
5,2.0178,0.2537,.2071
6,2.0686,0.2514,.2206
7,2.0216,0.2594,.2074
