epoch,train_loss,test_loss,accuracy
1,1.588,0.1909,.4450
2,1.363,0.1653,.5192
3,1.228,0.1576,.5494
4,1.145,0.1452,.5868
5,1.065,0.1445,.5953
6,1.010,0.1389,.6139
7,0.952,0.1325,.6314
