epoch,train_loss,test_loss,accuracy
1,2.2432,0.2463,.2904
2,1.7948,0.2015,.4069
3,1.5574,0.1862,.4565
4,1.4350,0.1749,.4932
5,1.3411,0.1649,.5267
6,1.2563,0.1562,.5614
7,1.1897,0.1528,.5657
