epoch,train_loss,test_loss,accuracy
1,2.3761,0.3156,.1000
2,2.7125,0.3745,.1000
3,2.9984,46.1708,.1000
4,3.0786,348.4551,.1000
5,3.1256,1316.7325,.1000
6,3.1297,3337.9526,.1000
7,3.6649,7308.7935,.1000
