epoch,train_loss,test_loss,accuracy
1,2.0463,0.2134,.3710
2,1.5736,0.1825,.4691
3,1.4203,0.1694,.5083
4,1.3211,0.1635,.5318
5,1.2430,0.1509,.5663
6,1.1711,0.1453,.5909
7,1.1106,0.1410,.5991
